ORF	t2A	t3A	t4A	t5A	t6A	t7A	t8A	t2B	t3B	t4B	t5B	t6B	t7B	t8B	t2C	t3C	t4C	t5C	t6C	t7C	t8C
Ga0196617_100004188	23.4886426410849	24.9017028721749	24.2474023820724	23.7123884809001	24.2894787164283	24.3311132619226	23.4826453384214	23.4295004172089	24.4865404725583	23.278988278292	23.9386256184051	24.3330984784265	24.6692688653571	22.6051155022652	23.5195188019242	23.9556439118624	23.6374735440813	22.6344359361824	23.5372433961281	24.5001910636398	23.3153613780933
Ga0196617_100004190	23.1141104041209	24.0514719793222	24.3800674037541	23.5665255127951	23.8503637989671	23.8734088258053	23.0575249901011	21.9873112952714	23.4733540922313	23.3758813785271	24.0015902234516	23.6357544502844	24.0122054579699	23.0134273888647	23.5120038461358	23.2161186148797	23.6941823732279	24.3167894857307	23.484599162903	23.9428071418876	22.8543826581055
Ga0196617_100004196	22.2660403529427	23.5869353561964	22.8868730716699	23.3728746278303	22.834761408572	23.4463285920723	23.3353287687087	23.0570451272632	22.9684904794013	22.0501719060984	23.5971551153299	23.0137274472628	23.3764772069653	23.8674232820997	22.4983714207574	23.0075571767704	22.8831745171949	22.4447830217405	22.6805571789724	23.4114028995188	23.4037184075019
Ga0196617_100004200	24.4743221598582	25.2529474615465	25.982109038634	25.7684389019897	25.5633234982486	25.0578049478667	24.7449617937637	24.8349796357407	25.6994691949998	25.7018658618351	25.3963111332153	25.1451202284997	25.6278843522416	25.0055886918563	24.6212932279542	25.5969871528013	26.1838138041481	25.6076541814165	25.8375360293281	25.3428446500542	25.2013527863232
Ga0196617_100004203	22.9576581221651	23.6293227003487	23.8404958426414	24.5338871946521	23.701685012281	24.1964551993135	23.6620097858575	23.6237408564876	23.7763357686701	22.9121708222189	24.2510846334292	24.1274619094456	23.3563652554748	23.4426030813804	23.4691708689977	23.1740309718524	24.1510433129178	24.540683909446	24.0375793932687	23.7764102273942	23.4559891258218
Ga0196617_100004205	26.8194911020849	27.0793981622062	27.0555356195277	26.3502036505869	27.1188892304351	26.1452375864466	26.3890113898052	26.7916180654695	26.5898052741234	26.6024830958925	26.5367225612986	26.6393907084382	26.3031663533995	25.6505010867737	26.9345626268045	26.6831447373254	26.9010904128762	26.1023515196183	26.8278094127049	26.224201969923	26.0970370926374
Ga0196617_100004206	26.8768793405618	28.1860982221879	27.7431974495685	27.3563343571088	28.1341059649741	27.4671226157536	27.2849627138469	26.7788048330092	27.8692572887794	27.5513911678684	27.4901724519224	27.5874412027529	27.1097684207409	27.1871341442771	26.9579503936656	27.7413873408794	27.8340618349837	27.0764495185381	27.1736012228704	27.2884455182472	27.1297813654675
Ga0196617_100004207	26.4138335199406	27.4910027410848	27.6126778625265	27.1406154471837	28.0316425480777	27.4022101464331	27.9541902924476	26.3214772165987	26.7653044477144	27.2358184480846	27.6393150022126	27.6243226723334	27.7166067220604	27.7425044372607	26.6309413534443	26.8098743173724	27.7932627390862	27.3003113735603	27.3069360536913	27.5594084342468	27.9483629350806
Ga0196617_100004208	25.7912414446687	26.9770758302173	27.0364014138086	26.8380602466747	26.6631390135307	26.9643193856596	27.1733595256365	26.183450293092	26.7990773460484	26.8074671766676	27.236945916614	27.1172956491726	26.9572832971683	26.9927892658682	25.992565516119	26.5565825550826	27.5591946303242	26.8550732570697	26.5718582884109	26.960801341414	27.2241834880425
Ga0196617_10000421	26.3967330563768	28.2717782196358	27.737070659536	28.7200722139224	28.7109847489412	27.8696222934657	28.5397107683502	26.6194822875497	26.5546143124712	27.4627887206998	28.9629940513483	27.5661457037289	27.7936511867013	28.2225959865578	26.7375862935197	27.137583336731	28.5600084936972	28.5560875352647	28.1066422611363	27.8316367400835	28.9916068904708
