t1A	t1B	t1C	t2A	t2B	t2C	t3A	t3B	t3C	t4A	t4B	t4C	t5A	t5B	t5C	t6A	t6B	t6C	t7A	t7B	t7C	t8A	t8B	t8C	Unique_peptides
Ga0196617_1005714;Ga0187564_101178;Ga0187557_1001192	0	0	2328800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Ga0196617_1005713;Ga0187564_101179;Ga0187557_1001193;Ga0196617_1056521;Ga0196617_1042101;Ga0196617_1092071;Ga0196617_1136181;Ga0196617_1086461	2.1423E+08	2.0586E+08	2.8275E+08	9.524E+07	9.0004E+07	1.2781E+08	1.9456E+08	1.6525E+08	1.8653E+08	9.0328E+07	8.4427E+07	1.2492E+08	2.2349E+08	1.971E+08	2.2629E+08	6.8266E+07	1.3429E+08	9.7033E+07	1.8271E+08	1.3318E+08	9.1618E+07	3.1179E+08	4.3162E+08	3.0457E+08	22
Ga0196617_1005712;Ga0187564_101180;Ga0187557_1001194;Ga0196617_1045381;Ga0196617_1062131;Ga0196617_1053871;Ga0196617_1087271;Ga0196617_1130881;Ga0196617_1124741	3.0555E+07	2.2336E+07	4.6563E+07	2.3106E+07	2.1207E+07	1.5284E+07	1.6833E+07	1.2344E+07	3475400	5986100	4977800	6753200	8675200	5537800	2055500	6133600	4148400	4669900	3427200	4755400	3012200	7971800	7638500	1.134E+07	26
Ga0187564_101181;Ga0187557_1001195;Ga0196617_1008881;Ga0196617_1005711;Ga0196617_1042971;Ga0196617_1099891;Ga0196617_1091361;Ga0196617_1100641;Ga0196617_1013533	8.5876E+08	8.1422E+08	1.0335E+09	3.121E+08	3.3858E+08	4.2379E+08	2.0465E+08	2.187E+08	2.0087E+08	1.332E+08	1.3191E+08	1.289E+08	1.9096E+08	1.2357E+08	1.341E+08	1.7082E+08	1.3344E+08	1.8505E+08	1.5453E+08	1.5079E+08	2.1401E+08	1.7275E+08	1.8529E+08	1.041E+08	49
Ga0196617_1010043;Ga0187557_1001198;Ga0187564_101184;Ga0196617_1117921;Ga0196617_10008959;Ga0196617_1056541	6433400	2.0485E+07	1.6306E+07	3199600	2249700	2317000	0	2056800	2335600	1400500	1632200	3023900	1968400	1747000	1465800	2091600	0	2775500	1458300	0	1770300	2522100	5248000	3720500	15
Ga0187557_1001200;Ga0187564_101186;Ga0196617_10008957;Ga0196617_1010041;Ga0196617_1086931;Ga0196617_1086911;Ga0196617_1081301	1.1107E+08	1.7836E+08	2.0886E+08	7.0691E+07	8.7469E+07	5.1987E+07	5.9916E+07	4.3343E+07	4.1202E+07	4.9782E+07	2.2129E+07	1.8248E+07	1.4621E+07	1.3588E+07	1.2544E+07	2.2154E+07	1.621E+07	2.527E+07	1.5865E+07	2.2835E+07	3.9803E+07	1.2056E+07	1.2666E+07	1.9423E+07	36
Ga0187557_1001202;Ga0196617_10008955;Ga0196617_1090831;Ga0196617_1018942	1.4015E+07	9738000	2603600	7214300	2588100	2971000	7983500	5525000	7419000	1219300	2983700	2149500	4327000	1528600	1906900	2101900	729190	2902800	3035800	810130	1707100	6134100	1.0102E+07	2212100	6
Ga0196617_10008954;Ga0187557_1001203;Ga0187564_101189;Ga0196617_1018941;Ga0196617_1015552;Ga0196617_1052451;Ga0196617_1062962;Ga0196617_1032331	5.5205E+07	6.2123E+07	6.0187E+07	3.072E+07	2.3123E+07	3.2531E+07	3.6892E+07	4.2982E+07	5.3858E+07	4.6534E+07	4.8686E+07	5.687E+07	6.207E+07	4.3598E+07	8.4723E+07	6.15E+07	5.1806E+07	6.5462E+07	7.0253E+07	6.8391E+07	6.182E+07	7.9446E+07	8.2706E+07	6.2091E+07	32
Ga0196617_10008953;Ga0187564_101190;Ga0187557_1001204;Ga0196617_1015551;Ga0196617_1062961	1.6351E+07	1.5329E+07	1.9101E+07	8635100	1.0493E+07	1.1386E+07	1.1724E+07	8335500	1.4954E+07	1.4612E+07	1.2699E+07	1.0629E+07	2.4942E+07	1.6348E+07	2.8845E+07	1.6554E+07	1.0367E+07	1.5929E+07	1.9406E+07	1.869E+07	1.5138E+07	2.3353E+07	2.9894E+07	1.8425E+07	7
Ga0196617_10008952;Ga0187564_101191;Ga0187557_1001205;Ga0196617_1017903	4.2648E+07	2.5246E+07	3.1223E+07	2.2867E+07	1.7274E+07	2.403E+07	2.369E+07	1.3909E+07	2.1366E+07	1.4715E+07	6647700	1.3634E+07	2.2881E+07	1.2809E+07	2.269E+07	2.4078E+07	1.039E+07	2.1771E+07	1.6621E+07	1.6219E+07	1.6522E+07	2.4644E+07	1.8353E+07	1.2128E+07	13
