ORF,protein2RNA
YDL202W,6070
YDL203C,98.9
YDL204W,
YDL205C,8480
YDL206W,
YDL207W,1040
YDL208W,
YDL209C,2650
YDL210W,
YDL211C,3360
YDL212W,6510
YDL213C,8970
YDL214C,
YDL215C,7400
YDL216C,
YDL217C,
YDL218W,
YDL219W,4610
YDL220C,319
YDL221W,
YDL222C,329
YDL223C,
YDL224C,
YDL225W,5620
YDL226C,9560
YDL227C,
YDL228C,
YDL229W,170000
YDL230W,2690
YDL231C,
YDL232W,2430
YDL233W,1010
YDL234C,2460
YDL235C,6330
YDL236W,2980
YDL237W,
YDL238C,279
YDL239C,
YDL240C-A,
YDL240W,468
YDL241W,1300
YDL242W,
YDL243C,
YDL244W,
YDL245C,
YDL246C,
YDL247W,
YDL247W-A,
YDL248W,
YDR001C,1840
YDR002W,
YDR003W,1230
YDR004W,238
YDR005C,1720
YDR006C,
YDR007W,1850
YDR008C,
YDR009W,721
YDR010C,
YDR011W,1300
YDR012W,151000
YDR013W,1430
YDR014W,721
YDR015C,
YDR016C,799
YDR017C,1940
YDR018C,
YDR019C,4090
YDR020C,4280
YDR021W,3090
YDR022C,486
YDR023W,
YDR024W,
YDR025W,
YDR026C,432
YDR027C,2540
YDR028C,2560
YDR029W,
YDR030C,
YDR031W,
YDR032C,2330
YDR033W,182000
YDR034C,450
YDR034C-A,
YDR034W-B,861
YDR035W,8970
YDR036C,3950
YDR037W,
YDR038C,606
YDR039C,639
YDR040C,688
YDR041W,8480
YDR042C,
YDR043C,556
YDR044W,22000
YDR045C,
YDR046C,
YDR047W,9220
YDR048C,
YDR049W,3930
YDR050C,207000
YDR051C,3170
YDR052C,
YDR053W,
YDR054C,8170
YDR055W,11700
YDR056C,1600
YDR057W,
YDR058C,
YDR059C,981
YDR060W,15000
YDR061W,1580
YDR062W,54500
YDR063W,3040
YDR064W,
YDR065W,1670
YDR066C,1050
YDR067C,
YDR068W,3270
YDR069C,428
YDR070C,937
YDR071C,8680
YDR072C,606
YDR073W,1030
YDR074W,22700
