ORF,Mean_Protein,Mean_RNAseq,protein2RNA
ybiM,1.64,0.007692308,213.199991472
ybiN,20.175,0.037257019,541.5087020247
dps,8.687,3.314115308,2.6212123576
ybiS,9.515,0.077173913,123.2929578159
ybiT,25.551,0.084170854,303.561135307
b0822,13.503,,
moeB,1.41,0.027369826,51.5165861851
moeA,22.914,0.016194332,1414.9394985851
yliB,2.167,0.018530559,116.9419659709
b0836,0.616,,
yliJ,106.978,0.108626198,984.826883106
b0844,6.345,,
artP,35.802,0.067307692,531.915431003
ybjP,0.922,0.075728155,12.1751282598
b0866,56.032,,
ybjX,9.267,0.106854839,86.7251318398
b0878,0.251,,
cspD,53.579,0.799107143,67.0485809936
clpA,197.673,0.322056239,613.7841037136
infA,637.755,0.931192661,684.879753364
cydC,16.468,0.018303312,899.7278743869
cydD,15.779,0.013306908,1185.7750876462
ftsK,4.585,0.030458762,150.5313971723
lolA,2.87,0.109934853,26.1063704702
ycaJ,8.66,0.020848846,415.3707116451
serS,168.148,0.24380805,689.6737002736
ycaK,0.721,0.001694915,425.3900638085
pflB,238.944,0.388913234,614.3889667689
ycaO,0.325,0.036647727,8.8682171203
serC,187.766,0.388327206,483.525225889
msbA,24.296,0.045480549,534.2063922755
kdsB,35.914,0.091152815,393.9977059403
b0919,1.183,,
mukF,11,0.040847201,269.2962976827
mukB,37.896,0.04764574,795.3701632087
ycbB,2.697,0.053600433,50.3167577023
ycbL,42.293,0.262751159,160.9621824732
aspC,248.055,0.314705882,788.2121504167
pncB,27.614,0.101081531,273.1854150488
pepN,133.679,0.108346095,1233.8146566335
ycbE,0.256,,
ycbY,0.418,0.034155598,12.2381110118
uup,14.02,0.051651809,271.4328940541
pqiB,0.756,0.028658537,26.3795740864
ymbA,0.744,0.027372263,27.1807997753
fabA,610.512,0.507722008,1202.4532921173
sulA,1.571,0.02259332,69.5338268125
b0959,0.383,,
b0964,0.32,,
b0965,24.635,,
b0968,14.755,,
appC,3.091,0.00388601,795.4174075723
cspG,0.06,0.054245283,1.1060869569
torS,2.764,0.003279883,842.7129870181
torA,0.811,0.001767478,458.8458809671
yccD,44.788,,
yccJ,108.101,0.579295154,186.6078099455
wrbA,219.007,0.307885906,711.3251881039
b1010,0.218,,
b1012,0.093,,
putA,12.847,0.009464917,1357.3283315638
putP,32.437,0.025530504,1270.5193755674
ycdO,5.872,0.043478261,135.0559995948
phoH,14.447,0.257048872,56.2033199663
pgaA,1.314,,
ycdW,13.396,0.051705757,259.0814017093
csgG,2.845,0.034213685,83.1538608016
csgD,23.322,0.054615385,427.0225322041
ymdC,3.143,0.017593244,178.6481219723
mdoH,30.192,0.042272906,714.2163351628
yceA,36.831,0.086977186,423.4558703704
mviM,17.7,0.024377031,726.0933458221
yceC,12.929,,
yceF,23.693,0.077054795,307.4824869757
yceD,42.904,1.546065259,27.750445688
plsX,18.22,0.211682243,86.0724061772
fabH,84.754,0.240818468,351.941446617
fabD,5.316,0.356297094,14.9201329158
fabF,73.676,0.553988719,132.9918777642
tmk,13.506,0.037441498,360.7227467234
holB,11.615,0.03436255,338.0133313738
ycfH,7.146,0.099121706,72.0931901636
ycfF,73.177,,
nagZ,5.274,0.094146341,56.0191712602
ycfP,51.647,0.115313653,447.8827845303
ndh,58.781,0.126917178,463.1445555778
ycfR,1.134,0.017509728,64.7639986184
mfd,10.744,0.028148578,381.6889080507
b1117,56.729,,
ycfX,9.764,0.04884742,199.887732044
cobB,25.486,0.058402861,436.3827313186
pepT,14.968,0.13132137,113.9799257349
ycfD,28.655,0.064674398,443.0655852413
phoQ,7.058,0.03869863,182.3837174598
purB,100.924,0.11350365,889.1696434432
ycfB,60.094,,
ycgE,11.335,0.086183311,131.5219834151
b1163,9.01,,
fadR,28.758,0.041724618,689.2333921427
dadX,10.883,0.08317757,130.8405619448
treA,2.07,0.017088981,121.1306864932
ycgC,19.418,,
b1200,64.567,,
ycgV,0.341,0.00418556,81.4705798029
pth,15.983,0.02739726,583.3795058338
prsA,283.238,0.387539599,730.8620866896
ychB,8.579,,
prfA,25.663,0.049907579,514.2104769298
kdsA,94.955,0.151053864,628.6168224071
narG,2.978,0.001736575,1714.869786793
narH,1.101,0.002275683,483.8107943857
narJ,5.44,0,
b1228,0.67,,
ychJ,12.163,0.079694323,152.6206578102
ychK,13.06,,
b1240,0.244,,
b1248,17.477,,
kch,29.372,0.028731045,1022.3087952422
yciI,93.78,0.172297297,544.2917656451
yciE,4.107,0.010869565,377.8440075569
yciF,62.672,0.02,3133.6
yciL,51.674,,
sohB,42.35,0.09914204,427.1649040104
yciN,88.954,0.125498008,708.808063312
topA,60.165,0.119175972,504.8416974522
cysB,46.069,0.05698152,808.4901912059
yciM,13.589,0.048759624,278.6936995248
fabI,342.234,0.293781726,1164.9260989092
sapF,7.617,0.023573201,323.1211577927
sapA,3.547,0.013085819,271.056782919
ymjA,39.293,0.018367347,2139.2855484246
ycjX,5.889,0.011811024,498.6019840447
tyrR,10.341,0.056456846,183.1664489369
b1327,8.579,,
ydaA,87.363,,
ogt,2.209,0.013592233,162.5192858304
b1337,0.173,,
b1341,29.269,,
recE,0.183,0.0025,73.2
b1355,0.403,,
ydaW,1.778,0.002678571,663.7867728726
b1371,1.865,,
b1374,5.622,,
ynaF,125.83,,
ydbK,14.723,0.034477866,427.0275892365
hslJ,2.78,0.095971564,28.9669135745
ydbO,2.214,,
b1391,0.487,,
paaF,0.699,0.00065189,1072.2667934774
b1396,0.17,,
b1398,0.05,,
b1399,6.23,,
ydbC,6.566,0.027325581,240.287663051
b1410,0.112,,
hrpA,10.191,0.02496749,408.1707852892
aldA,125.054,0.259207783,482.446933316
ydcI,1.772,0.037378115,47.4074200906
b1423,3.925,,
tehB,11.537,0.049747049,231.9132537892
ydcN,4.435,0.010261194,432.2109103483
ydcP,11,0.024222336,454.1263072232
yncB,52.44,0.06460945,811.6459743892
narW,2.926,0.013669065,214.0599960568
narZ,0.987,0.012433155,79.3845166412
fdnG,0.209,0.001148671,181.9494006552
rpsV,3123.624,,
osmC,1.205,0.981438515,1.2277895982
ddpA,14,0.00516129,2712.5001695313
pqqL,0.851,0.003398927,250.3731324621
b1501,0.779,,
hipA,4.308,0.018910741,227.8070436267
ydeH,6.114,0.040449438,151.1516674224
ydeI,0.653,0.100765306,6.4804050712
ydeJ,11.72,0.012548263,933.9938125301
dcp,32.605,0.051344743,635.0211938932
ydfG,126.723,0.308310992,411.023295595
b1552,54.184,,
b1555,90.108,,
cspB,53.435,0.062790698,851.0018474393
relE,1.943,0.090592334,21.4477308864
relB,33.857,0.083682008,404.5911517802
rspA,0.223,0.002059308,108.2888038118
b1593,2.989,,
b1598,1.263,,
fumC,20.83,0.025659301,811.7914046061
manA,22.119,0.047659574,464.1040224153
b1624,23.166,,
b1625,41.427,,
b1628,3.979,,
rsxC,8.534,0.02070207,412.2293084701
nth,6.104,0.018110236,337.0469606249
pdxH,25.51,0.067073171,380.3309075696
b1648,18.493,,
b1649,6.373,,
gloA,98.724,0.138820639,711.1622645679
lhr,4.216,0.011048527,381.5893286046
ydhD,448.401,0.390489914,1148.3036665577
b1667,70.832,,
b1668,18.178,,
b1672,0.433,,
b1673,0.927,,
b1675,21.463,,
pykF,0.152,0.316572238,0.4801431767
ynhG,3.653,0.062749004,58.2160634773
b1685,253.529,,
ydiJ,6.558,0.073134817,89.6700131211
ydiB,0.364,0.012124711,30.0213341167
pps,115.188,0.162952061,706.8827438764
ydiA,18.364,0.029411765,624.3759937562
thrS,783.577,0.59439834,1318.2691593654
pfkB,36.614,0.075349839,485.9200827224
b1731,7.844,,
katE,149.12,0.157231314,948.4115867657
ydjC,1.772,,
nadE,30.911,0.125151149,246.989342463
spy,0.158,0.015463918,10.21733302
b1745,2.875,,
astC,19.916,0.016803279,1185.2448560784
xthA,6.681,0.066377171,100.6520750937
topB,8.997,0.051759306,173.8238144074
ydjA,29.847,0.114337568,261.0428096564
ansA,29.931,0.026574803,1126.2924507851
ydjB,18.786,,
b1770,23.538,,
b1773,0.921,,
yeaA,60.858,0.240920097,252.6065727095
gapA,2380.382,2.107035176,1129.7305460837
yeaU,2.432,0.003225806,753.9201055488
rnd,5.04,0.020408163,246.9600032105
yeaB,4.674,0.021626298,216.1257557812
